"","Casual","Registered","Month","Day","Year","Hour","Holiday","WorkDay","Weather","Temp","TempFeel","Humidity","Windspeed","MonthName"
"23",11,17,"1",6,"2011","22","0","0","2",0.4,0.4091,0.94,0.2239,"January"
"24",15,24,"1",6,"2011","23","0","0","2",0.46,0.4545,0.88,0.2985,"January"
"25",4,13,"1",0,"2011","0","0","0","2",0.46,0.4545,0.88,0.2985,"January"
"26",1,16,"1",0,"2011","1","0","0","2",0.44,0.4394,0.94,0.2537,"January"
"27",1,8,"1",0,"2011","2","0","0","2",0.42,0.4242,1,0.2836,"January"
"28",2,4,"1",0,"2011","3","0","0","2",0.46,0.4545,0.94,0.194,"January"
"29",2,1,"1",0,"2011","4","0","0","2",0.46,0.4545,0.94,0.194,"January"
"30",0,2,"1",0,"2011","6","0","0","3",0.42,0.4242,0.77,0.2985,"January"
"31",0,1,"1",0,"2011","7","0","0","2",0.4,0.4091,0.76,0.194,"January"
"32",0,8,"1",0,"2011","8","0","0","3",0.4,0.4091,0.71,0.2239,"January"
"33",1,19,"1",0,"2011","9","0","0","2",0.38,0.3939,0.76,0.2239,"January"
"34",7,46,"1",0,"2011","10","0","0","2",0.36,0.3485,0.81,0.2239,"January"
"35",16,54,"1",0,"2011","11","0","0","2",0.36,0.3333,0.71,0.2537,"January"
"36",20,73,"1",0,"2011","12","0","0","2",0.36,0.3333,0.66,0.2985,"January"
"37",11,64,"1",0,"2011","13","0","0","2",0.36,0.3485,0.66,0.1343,"January"
"38",4,55,"1",0,"2011","14","0","0","3",0.36,0.3485,0.76,0.194,"January"
"39",19,55,"1",0,"2011","15","0","0","3",0.34,0.3333,0.81,0.1642,"January"
"40",9,67,"1",0,"2011","16","0","0","3",0.34,0.3333,0.71,0.1642,"January"
"41",7,58,"1",0,"2011","17","0","0","1",0.34,0.3333,0.57,0.194,"January"
"42",10,43,"1",0,"2011","18","0","0","2",0.36,0.3333,0.46,0.3284,"January"
"43",1,29,"1",0,"2011","19","0","0","1",0.32,0.2879,0.42,0.4478,"January"
"44",5,17,"1",0,"2011","20","0","0","1",0.3,0.2727,0.39,0.3582,"January"
"45",11,20,"1",0,"2011","21","0","0","1",0.26,0.2273,0.44,0.3284,"January"
"46",0,9,"1",0,"2011","22","0","0","1",0.24,0.2121,0.44,0.2985,"January"
"47",0,8,"1",0,"2011","23","0","0","1",0.22,0.2273,0.47,0.1642,"January"
"48",0,5,"1",1,"2011","0","0","1","1",0.22,0.197,0.44,0.3582,"January"
"49",0,2,"1",1,"2011","1","0","1","1",0.2,0.1667,0.44,0.4179,"January"
"50",0,1,"1",1,"2011","4","0","1","1",0.16,0.1364,0.47,0.3881,"January"
"51",0,3,"1",1,"2011","5","0","1","1",0.16,0.1364,0.47,0.2836,"January"
"52",0,30,"1",1,"2011","6","0","1","1",0.14,0.1061,0.5,0.3881,"January"
"53",1,63,"1",1,"2011","7","0","1","1",0.14,0.1364,0.5,0.194,"January"
"54",1,153,"1",1,"2011","8","0","1","1",0.14,0.1212,0.5,0.2836,"January"
"55",7,81,"1",1,"2011","9","0","1","1",0.16,0.1364,0.43,0.3881,"January"
"56",11,33,"1",1,"2011","10","0","1","1",0.18,0.1667,0.43,0.2537,"January"
"57",10,41,"1",1,"2011","11","0","1","1",0.2,0.1818,0.4,0.3284,"January"
"58",13,48,"1",1,"2011","12","0","1","1",0.22,0.2121,0.35,0.2985,"January"
"59",8,53,"1",1,"2011","13","0","1","1",0.24,0.2121,0.35,0.2836,"January"
"60",11,66,"1",1,"2011","14","0","1","1",0.26,0.2424,0.3,0.2836,"January"
"61",14,58,"1",1,"2011","15","0","1","1",0.26,0.2424,0.3,0.2537,"January"
"62",9,67,"1",1,"2011","16","0","1","1",0.26,0.2424,0.3,0.2537,"January"
"63",11,146,"1",1,"2011","17","0","1","1",0.24,0.2273,0.3,0.2239,"January"
"64",9,148,"1",1,"2011","18","0","1","1",0.24,0.2576,0.32,0.1045,"January"
"65",8,102,"1",1,"2011","19","0","1","1",0.2,0.2576,0.47,0,"January"
"66",3,49,"1",1,"2011","20","0","1","1",0.2,0.2273,0.47,0.1045,"January"
"67",3,49,"1",1,"2011","21","0","1","1",0.18,0.197,0.64,0.1343,"January"
"68",0,20,"1",1,"2011","22","0","1","1",0.14,0.1515,0.69,0.1343,"January"
"69",1,11,"1",1,"2011","23","0","1","1",0.18,0.2121,0.55,0.1045,"January"
"70",0,5,"1",2,"2011","0","0","1","1",0.16,0.1818,0.55,0.1045,"January"
"71",0,2,"1",2,"2011","1","0","1","1",0.16,0.1818,0.59,0.1045,"January"
"72",0,1,"1",2,"2011","2","0","1","1",0.14,0.1515,0.63,0.1343,"January"
"73",0,2,"1",2,"2011","4","0","1","1",0.14,0.1818,0.63,0.0896,"January"
"74",0,4,"1",2,"2011","5","0","1","1",0.12,0.1515,0.68,0.1045,"January"
"75",0,36,"1",2,"2011","6","0","1","1",0.12,0.1515,0.74,0.1045,"January"
"76",2,92,"1",2,"2011","7","0","1","1",0.12,0.1515,0.74,0.1343,"January"
"77",2,177,"1",2,"2011","8","0","1","1",0.14,0.1515,0.69,0.1642,"January"
"78",2,98,"1",2,"2011","9","0","1","1",0.16,0.1515,0.64,0.2239,"January"
"79",5,37,"1",2,"2011","10","0","1","2",0.16,0.1364,0.69,0.3284,"January"
"80",7,50,"1",2,"2011","11","0","1","1",0.22,0.2121,0.51,0.2985,"January"
"81",12,66,"1",2,"2011","12","0","1","1",0.22,0.2273,0.51,0.1642,"January"
"82",18,79,"1",2,"2011","13","0","1","1",0.24,0.2273,0.56,0.194,"January"
"83",9,54,"1",2,"2011","14","0","1","1",0.26,0.2576,0.52,0.2239,"January"
"84",17,48,"1",2,"2011","15","0","1","1",0.28,0.2727,0.52,0.2537,"January"
"85",15,68,"1",2,"2011","16","0","1","1",0.3,0.2879,0.49,0.2537,"January"
"86",10,202,"1",2,"2011","17","0","1","1",0.28,0.2727,0.48,0.2239,"January"
"87",3,179,"1",2,"2011","18","0","1","1",0.26,0.2576,0.48,0.194,"January"
"88",2,110,"1",2,"2011","19","0","1","1",0.24,0.2576,0.48,0.1045,"January"
"89",1,53,"1",2,"2011","20","0","1","1",0.24,0.2576,0.48,0.1045,"January"
"90",0,48,"1",2,"2011","21","0","1","1",0.22,0.2727,0.64,0,"January"
"91",1,34,"1",2,"2011","22","0","1","1",0.22,0.2576,0.64,0.0896,"January"
"92",2,9,"1",2,"2011","23","0","1","1",0.2,0.2273,0.69,0.0896,"January"
"93",0,6,"1",3,"2011","0","0","1","1",0.2,0.2576,0.64,0,"January"
"94",0,6,"1",3,"2011","1","0","1","1",0.16,0.197,0.74,0.0896,"January"
"95",0,2,"1",3,"2011","2","0","1","1",0.16,0.197,0.74,0.0896,"January"
"96",0,2,"1",3,"2011","4","0","1","1",0.24,0.2273,0.48,0.2239,"January"
"97",0,3,"1",3,"2011","5","0","1","1",0.22,0.2273,0.47,0.1642,"January"
"98",0,33,"1",3,"2011","6","0","1","1",0.2,0.197,0.47,0.2239,"January"
"99",1,87,"1",3,"2011","7","0","1","1",0.18,0.1818,0.43,0.194,"January"
"100",3,192,"1",3,"2011","8","0","1","1",0.2,0.1818,0.4,0.2985,"January"
"101",6,109,"1",3,"2011","9","0","1","1",0.22,0.197,0.37,0.3284,"January"
"102",4,53,"1",3,"2011","10","0","1","1",0.22,0.197,0.37,0.3284,"January"
"103",12,34,"1",3,"2011","11","0","1","1",0.26,0.2273,0.33,0.3284,"January"
"104",5,74,"1",3,"2011","12","0","1","1",0.26,0.2273,0.33,0.3284,"January"
"105",6,65,"1",3,"2011","13","0","1","1",0.28,0.2576,0.3,0.2985,"January"
"106",10,52,"1",3,"2011","14","0","1","1",0.3,0.2879,0.28,0.194,"January"
"107",7,55,"1",3,"2011","15","0","1","1",0.3,0.2879,0.28,0.194,"January"
"108",4,85,"1",3,"2011","16","0","1","1",0.3,0.3182,0.28,0.0896,"January"
"109",4,186,"1",3,"2011","17","0","1","1",0.24,0.2273,0.38,0.194,"January"
"110",3,166,"1",3,"2011","18","0","1","1",0.24,0.2424,0.38,0.1343,"January"
"111",5,127,"1",3,"2011","19","0","1","1",0.24,0.2576,0.38,0.1045,"January"
"112",7,82,"1",3,"2011","20","0","1","1",0.22,0.2273,0.47,0.1642,"January"
"113",3,40,"1",3,"2011","21","0","1","1",0.2,0.197,0.51,0.194,"January"
"114",1,41,"1",3,"2011","22","0","1","1",0.18,0.197,0.55,0.1343,"January"
"115",1,18,"1",3,"2011","23","0","1","1",0.2,0.2576,0.47,0,"January"
"116",0,11,"1",4,"2011","0","0","1","1",0.18,0.2424,0.55,0,"January"
"117",0,4,"1",4,"2011","1","0","1","1",0.16,0.2273,0.64,0,"January"
"118",0,2,"1",4,"2011","2","0","1","1",0.16,0.2273,0.64,0,"January"
"119",0,1,"1",4,"2011","4","0","1","2",0.16,0.197,0.64,0.0896,"January"
"120",0,4,"1",4,"2011","5","0","1","2",0.14,0.1818,0.69,0.0896,"January"
"121",0,36,"1",4,"2011","6","0","1","2",0.14,0.1667,0.63,0.1045,"January"
"122",0,95,"1",4,"2011","7","0","1","2",0.16,0.2273,0.59,0,"January"
"123",3,216,"1",4,"2011","8","0","1","1",0.16,0.2273,0.59,0,"January"
"124",6,116,"1",4,"2011","9","0","1","2",0.18,0.2424,0.51,0,"January"
"125",3,42,"1",4,"2011","10","0","1","1",0.2,0.2576,0.47,0,"January"
"126",2,57,"1",4,"2011","11","0","1","1",0.22,0.2576,0.44,0.0896,"January"
"127",6,78,"1",4,"2011","12","0","1","1",0.26,0.2879,0.35,0,"January"
"128",12,55,"1",4,"2011","13","0","1","1",0.26,0.2727,0.35,0.1045,"January"
"129",11,59,"1",4,"2011","14","0","1","1",0.28,0.2727,0.36,0.1642,"January"
"130",8,54,"1",4,"2011","15","0","1","1",0.28,0.2727,0.36,0,"January"
"131",12,74,"1",4,"2011","16","0","1","1",0.26,0.2576,0.38,0.1642,"January"
"132",9,163,"1",4,"2011","17","0","1","1",0.22,0.2273,0.51,0.1642,"January"
"133",5,158,"1",4,"2011","18","0","1","1",0.22,0.2273,0.51,0.1343,"January"
"134",3,109,"1",4,"2011","19","0","1","1",0.22,0.2576,0.55,0.0896,"January"
"135",3,66,"1",4,"2011","20","0","1","1",0.2,0.2121,0.51,0.1642,"January"
"136",0,48,"1",4,"2011","21","0","1","2",0.22,0.2121,0.55,0.2239,"January"
"137",1,51,"1",4,"2011","22","0","1","2",0.22,0.2121,0.51,0.2836,"January"
"138",4,19,"1",4,"2011","23","0","1","2",0.2,0.197,0.59,0.194,"January"
"139",4,13,"1",5,"2011","0","0","1","2",0.2,0.197,0.64,0.194,"January"
"140",2,5,"1",5,"2011","1","0","1","2",0.2,0.197,0.69,0.2239,"January"
"141",0,1,"1",5,"2011","2","0","1","2",0.2,0.197,0.69,0.2239,"January"
"142",0,1,"1",5,"2011","4","0","1","2",0.2,0.2121,0.69,0.1343,"January"
"143",0,5,"1",5,"2011","5","0","1","3",0.22,0.2727,0.55,0,"January"
"144",8,26,"1",5,"2011","6","0","1","2",0.2,0.2576,0.69,0,"January"
"145",8,76,"1",5,"2011","7","0","1","1",0.2,0.2121,0.69,0.1343,"January"
"146",20,190,"1",5,"2011","8","0","1","1",0.2,0.197,0.51,0.2537,"January"
"147",9,125,"1",5,"2011","9","0","1","1",0.2,0.1818,0.47,0.2985,"January"
"148",16,47,"1",5,"2011","10","0","1","1",0.22,0.197,0.37,0.3284,"January"
"149",19,48,"1",5,"2011","11","0","1","2",0.2,0.197,0.4,0.2239,"January"
"150",9,50,"1",5,"2011","12","0","1","2",0.2,0.197,0.37,0.2537,"January"
"151",9,64,"1",5,"2011","13","0","1","2",0.2,0.1818,0.37,0.2836,"January"
"152",7,43,"1",5,"2011","14","0","1","2",0.2,0.197,0.4,0.2537,"January"
"153",9,63,"1",5,"2011","15","0","1","2",0.2,0.2121,0.37,0.1642,"January"
"154",5,82,"1",5,"2011","16","0","1","2",0.2,0.2121,0.37,0.1642,"January"
"155",9,178,"1",5,"2011","17","0","1","2",0.2,0.2576,0.37,0,"January"
"156",7,116,"1",5,"2011","18","0","1","1",0.2,0.2273,0.4,0.0896,"January"
"157",3,92,"1",5,"2011","19","0","1","1",0.16,0.197,0.55,0.0896,"January"
"158",1,50,"1",5,"2011","20","0","1","1",0.18,0.2121,0.47,0.1045,"January"
"159",0,39,"1",5,"2011","21","0","1","1",0.18,0.197,0.47,0.1343,"January"
"160",2,34,"1",5,"2011","22","0","1","2",0.18,0.197,0.43,0.1642,"January"
"161",1,14,"1",5,"2011","23","0","1","2",0.18,0.197,0.51,0.1642,"January"
"162",1,24,"1",6,"2011","0","0","0","2",0.18,0.197,0.51,0.1642,"January"
"163",1,15,"1",6,"2011","1","0","0","2",0.18,0.2121,0.55,0.0896,"January"
"164",3,13,"1",6,"2011","2","0","0","2",0.18,0.2424,0.55,0,"January"
"165",0,7,"1",6,"2011","3","0","0","3",0.18,0.197,0.55,0.1642,"January"
"166",0,1,"1",6,"2011","4","0","0","3",0.18,0.197,0.55,0.1642,"January"
"167",0,5,"1",6,"2011","5","0","0","2",0.16,0.1667,0.74,0.1642,"January"
"168",0,2,"1",6,"2011","6","0","0","2",0.16,0.1667,0.74,0.1642,"January"
"169",1,8,"1",6,"2011","7","0","0","2",0.16,0.1818,0.74,0.1045,"January"
"170",0,15,"1",6,"2011","8","0","0","3",0.16,0.1818,0.93,0.1045,"January"
"171",0,20,"1",6,"2011","9","0","0","3",0.16,0.1818,0.93,0.1045,"January"
"172",5,56,"1",6,"2011","10","0","0","2",0.18,0.197,0.8,0.1642,"January"
"173",2,60,"1",6,"2011","11","0","0","2",0.2,0.1818,0.69,0.3881,"January"
"174",8,90,"1",6,"2011","12","0","0","2",0.2,0.1818,0.59,0.3582,"January"
"175",7,95,"1",6,"2011","13","0","0","1",0.2,0.1818,0.44,0.3284,"January"
"176",12,83,"1",6,"2011","14","0","0","1",0.2,0.1667,0.32,0.4925,"January"
"177",5,69,"1",6,"2011","15","0","0","1",0.2,0.1667,0.32,0.4478,"January"
"178",8,68,"1",6,"2011","16","0","0","1",0.18,0.1364,0.29,0.4478,"January"
"179",5,64,"1",6,"2011","17","0","0","1",0.16,0.1212,0.37,0.5522,"January"
"180",3,52,"1",6,"2011","18","0","0","1",0.14,0.1212,0.39,0.2985,"January"
"181",4,26,"1",6,"2011","19","0","0","1",0.14,0.1212,0.36,0.2537,"January"
"182",0,28,"1",6,"2011","20","0","0","1",0.12,0.1212,0.36,0.2537,"January"
"183",2,35,"1",6,"2011","21","0","0","1",0.12,0.1061,0.39,0.3582,"January"
"184",1,33,"1",6,"2011","22","0","0","1",0.12,0.1061,0.36,0.3881,"January"
"185",0,22,"1",6,"2011","23","0","0","1",0.1,0.0606,0.39,0.4478,"January"
"186",1,24,"1",0,"2011","0","0","0","1",0.1,0.0758,0.42,0.3881,"January"
"187",0,12,"1",0,"2011","1","0","0","1",0.1,0.0606,0.42,0.4627,"January"
"188",0,11,"1",0,"2011","2","0","0","1",0.1,0.0606,0.46,0.4627,"January"
"189",0,4,"1",0,"2011","3","0","0","1",0.1,0.0758,0.46,0.4179,"January"
"190",0,1,"1",0,"2011","4","0","0","1",0.08,0.0909,0.53,0.194,"January"
"191",0,1,"1",0,"2011","5","0","0","1",0.08,0.0909,0.53,0.194,"January"
"192",0,1,"1",0,"2011","6","0","0","1",0.1,0.0909,0.49,0.2836,"January"
"193",1,5,"1",0,"2011","7","0","0","1",0.08,0.0909,0.53,0.194,"January"
"194",0,10,"1",0,"2011","8","0","0","1",0.1,0.0909,0.49,0.2836,"January"
"195",0,19,"1",0,"2011","9","0","0","1",0.12,0.0758,0.46,0.5224,"January"
"196",0,49,"1",0,"2011","10","0","0","1",0.14,0.1061,0.43,0.3881,"January"
"197",2,47,"1",0,"2011","11","0","0","1",0.16,0.1212,0.4,0.5224,"January"
"198",4,79,"1",0,"2011","12","0","0","1",0.18,0.1364,0.37,0.4478,"January"
"199",6,69,"1",0,"2011","13","0","0","1",0.2,0.1667,0.34,0.4478,"January"
"200",8,64,"1",0,"2011","14","0","0","1",0.22,0.1818,0.32,0.4627,"January"
"201",5,77,"1",0,"2011","15","0","0","1",0.22,0.197,0.35,0.3582,"January"
"202",13,79,"1",0,"2011","16","0","0","1",0.2,0.1667,0.34,0.4478,"January"
"203",3,59,"1",0,"2011","17","0","0","1",0.18,0.1515,0.37,0.3881,"January"
"204",4,44,"1",0,"2011","18","0","0","1",0.16,0.1364,0.4,0.3284,"January"
"205",1,40,"1",0,"2011","19","0","0","1",0.16,0.1364,0.43,0.3284,"January"
"206",0,38,"1",0,"2011","20","0","0","1",0.14,0.1212,0.46,0.2537,"January"
"207",1,19,"1",0,"2011","21","0","0","1",0.14,0.1061,0.46,0.4179,"January"
"208",5,10,"1",0,"2011","22","0","0","1",0.14,0.1212,0.46,0.2985,"January"
"209",0,6,"1",0,"2011","23","0","0","1",0.12,0.1364,0.5,0.194,"January"
"210",2,3,"1",1,"2011","0","0","1","1",0.12,0.1212,0.5,0.2836,"January"
"211",1,0,"1",1,"2011","1","0","1","1",0.12,0.1212,0.5,0.2836,"January"
"212",0,3,"1",1,"2011","2","0","1","1",0.12,0.1212,0.5,0.2239,"January"
"213",0,1,"1",1,"2011","3","0","1","1",0.12,0.1212,0.5,0.2239,"January"
"214",1,2,"1",1,"2011","4","0","1","1",0.1,0.1212,0.54,0.1343,"January"
"215",0,3,"1",1,"2011","5","0","1","1",0.1,0.1061,0.54,0.2537,"January"
"216",0,31,"1",1,"2011","6","0","1","1",0.12,0.1212,0.5,0.2836,"January"
"217",2,75,"1",1,"2011","7","0","1","1",0.12,0.1212,0.5,0.2239,"January"
"218",4,184,"1",1,"2011","8","0","1","2",0.12,0.1212,0.5,0.2836,"January"
"219",2,92,"1",1,"2011","9","0","1","2",0.14,0.1212,0.5,0.2537,"January"
"220",0,31,"1",1,"2011","10","0","1","2",0.14,0.1212,0.5,0.2985,"January"
"221",2,28,"1",1,"2011","11","0","1","2",0.16,0.1364,0.47,0.2836,"January"
"222",5,47,"1",1,"2011","12","0","1","2",0.2,0.1818,0.4,0.2836,"January"
"223",4,50,"1",1,"2011","13","0","1","2",0.2,0.1818,0.4,0.2836,"January"
"224",0,47,"1",1,"2011","14","0","1","2",0.2,0.197,0.4,0.2239,"January"
"225",2,43,"1",1,"2011","15","0","1","2",0.2,0.197,0.4,0.2239,"January"
"226",4,70,"1",1,"2011","16","0","1","1",0.2,0.2121,0.4,0.1343,"January"
"227",4,174,"1",1,"2011","17","0","1","1",0.2,0.2273,0.4,0.1045,"January"
"228",1,154,"1",1,"2011","18","0","1","1",0.2,0.197,0.4,0.2239,"January"
"229",3,92,"1",1,"2011","19","0","1","1",0.16,0.1667,0.47,0.1642,"January"
"230",1,73,"1",1,"2011","20","0","1","1",0.16,0.1667,0.5,0.1642,"January"
"231",1,37,"1",1,"2011","21","0","1","1",0.14,0.1364,0.59,0.194,"January"
"232",2,22,"1",1,"2011","22","0","1","1",0.14,0.1515,0.59,0.1642,"January"
"233",0,18,"1",1,"2011","23","0","1","1",0.14,0.1515,0.59,0.1642,"January"
"234",2,10,"1",2,"2011","0","0","1","1",0.14,0.1667,0.59,0.1045,"January"
"235",0,3,"1",2,"2011","1","0","1","1",0.14,0.1515,0.59,0.1642,"January"
"236",0,3,"1",2,"2011","2","0","1","2",0.16,0.1515,0.55,0.194,"January"
"237",0,6,"1",2,"2011","5","0","1","2",0.16,0.1818,0.55,0.1343,"January"
"238",0,27,"1",2,"2011","6","0","1","2",0.16,0.1818,0.55,0.1343,"January"
"239",2,97,"1",2,"2011","7","0","1","2",0.16,0.2273,0.55,0,"January"
"240",3,214,"1",2,"2011","8","0","1","2",0.18,0.2121,0.51,0.0896,"January"
"241",3,127,"1",2,"2011","9","0","1","2",0.18,0.197,0.51,0.1642,"January"
"242",3,51,"1",2,"2011","10","0","1","2",0.2,0.2121,0.51,0.1642,"January"
"243",4,31,"1",2,"2011","11","0","1","2",0.2,0.2121,0.47,0.1343,"January"
"244",2,55,"1",2,"2011","12","0","1","2",0.2,0.2273,0.51,0.1045,"January"
"245",6,46,"1",2,"2011","13","0","1","2",0.2,0.2273,0.59,0.0896,"January"
"246",3,60,"1",2,"2011","14","0","1","2",0.2,0.2273,0.59,0.0896,"January"
"247",2,45,"1",2,"2011","15","0","1","2",0.16,0.197,0.8,0.0896,"January"
"248",4,72,"1",2,"2011","16","0","1","2",0.16,0.1515,0.86,0.2239,"January"
"249",6,130,"1",2,"2011","17","0","1","2",0.16,0.1515,0.86,0.2239,"January"
"250",1,94,"1",2,"2011","18","0","1","3",0.16,0.1818,0.93,0.1045,"January"
"251",0,51,"1",2,"2011","19","0","1","3",0.16,0.2273,0.93,0,"January"
"252",0,32,"1",2,"2011","20","0","1","3",0.16,0.1515,0.93,0.194,"January"
"253",0,20,"1",2,"2011","21","0","1","3",0.16,0.197,0.86,0.0896,"January"
"254",1,28,"1",2,"2011","22","0","1","3",0.16,0.1818,0.93,0.1045,"January"
"255",1,18,"1",2,"2011","23","0","1","3",0.16,0.197,0.93,0.0896,"January"
"256",0,7,"1",3,"2011","0","0","1","2",0.16,0.197,0.86,0.0896,"January"
"257",0,6,"1",3,"2011","1","0","1","2",0.16,0.1818,0.86,0.1045,"January"
"258",0,1,"1",3,"2011","2","0","1","1",0.14,0.1515,0.86,0.1343,"January"
"259",0,5,"1",3,"2011","5","0","1","1",0.14,0.1515,0.86,0.1642,"January"
"260",0,16,"1",3,"2011","6","0","1","1",0.12,0.1515,0.93,0.1343,"January"
"261",0,54,"1",3,"2011","7","0","1","1",0.14,0.1515,0.69,0.1343,"January"
"262",3,125,"1",3,"2011","8","0","1","1",0.16,0.1667,0.59,0.1642,"January"
"263",3,78,"1",3,"2011","9","0","1","1",0.16,0.1364,0.59,0.3284,"January"
"264",0,39,"1",3,"2011","10","0","1","1",0.18,0.1818,0.55,0.2239,"January"
"265",3,32,"1",3,"2011","11","0","1","1",0.2,0.1818,0.51,0.3881,"January"
"266",3,52,"1",3,"2011","12","0","1","1",0.2,0.1515,0.47,0.5821,"January"
"267",0,49,"1",3,"2011","13","0","1","1",0.22,0.197,0.44,0.3582,"January"
"268",0,44,"1",3,"2011","14","0","1","1",0.2,0.1818,0.47,0.3284,"January"
"269",1,48,"1",3,"2011","15","0","1","1",0.2,0.1667,0.47,0.4179,"January"
"270",5,63,"1",3,"2011","16","0","1","1",0.22,0.197,0.44,0.3284,"January"
"271",0,139,"1",3,"2011","17","0","1","1",0.2,0.1818,0.47,0.3582,"January"
"272",2,135,"1",3,"2011","18","0","1","1",0.2,0.1515,0.47,0.5224,"January"
"273",1,82,"1",3,"2011","19","0","1","1",0.18,0.1515,0.47,0.4179,"January"
"274",2,54,"1",3,"2011","20","0","1","1",0.16,0.1364,0.5,0.3284,"January"
"275",0,57,"1",3,"2011","21","0","1","1",0.16,0.1364,0.55,0.3284,"January"
"276",1,32,"1",3,"2011","22","0","1","1",0.16,0.1212,0.55,0.4478,"January"
"277",1,19,"1",3,"2011","23","0","1","1",0.14,0.1061,0.59,0.4179,"January"
"278",1,6,"1",4,"2011","0","0","1","1",0.14,0.1212,0.59,0.2836,"January"
"279",0,2,"1",4,"2011","1","0","1","1",0.14,0.1212,0.5,0.2836,"January"
"280",0,2,"1",4,"2011","2","0","1","1",0.14,0.1212,0.5,0.3582,"January"
"281",0,3,"1",4,"2011","3","0","1","1",0.14,0.1212,0.5,0.3284,"January"
"282",0,4,"1",4,"2011","4","0","1","1",0.14,0.1212,0.5,0.2537,"January"
"283",0,3,"1",4,"2011","5","0","1","1",0.14,0.1212,0.5,0.2985,"January"
"284",0,28,"1",4,"2011","6","0","1","1",0.12,0.1515,0.54,0.1343,"January"
"285",0,72,"1",4,"2011","7","0","1","1",0.12,0.1515,0.54,0.1343,"January"
"286",5,197,"1",4,"2011","8","0","1","1",0.14,0.1364,0.5,0.194,"January"
"287",2,137,"1",4,"2011","9","0","1","1",0.14,0.1212,0.5,0.3284,"January"
"288",2,36,"1",4,"2011","10","0","1","2",0.16,0.1364,0.5,0.3582,"January"
"289",4,33,"1",4,"2011","11","0","1","2",0.2,0.1667,0.44,0.4478,"January"
"290",3,49,"1",4,"2011","12","0","1","1",0.2,0.1667,0.44,0.4179,"January"
"291",2,81,"1",4,"2011","13","0","1","1",0.22,0.197,0.41,0.4478,"January"
"292",3,39,"1",4,"2011","14","0","1","1",0.22,0.197,0.41,0.3881,"January"
"293",5,55,"1",4,"2011","15","0","1","1",0.24,0.2121,0.38,0.2985,"January"
"294",2,76,"1",4,"2011","16","0","1","1",0.24,0.2121,0.38,0.3582,"January"
"295",4,158,"1",4,"2011","17","0","1","1",0.2,0.1818,0.4,0.2836,"January"
"296",3,141,"1",4,"2011","18","0","1","1",0.2,0.1818,0.4,0.3284,"January"
"297",1,98,"1",4,"2011","19","0","1","1",0.16,0.1515,0.47,0.2537,"January"
"298",0,64,"1",4,"2011","20","0","1","1",0.16,0.1515,0.47,0.2239,"January"
"299",0,40,"1",4,"2011","21","0","1","1",0.14,0.1212,0.46,0.2985,"January"
"300",0,30,"1",4,"2011","22","0","1","1",0.14,0.1212,0.46,0.3284,"January"
"301",1,14,"1",4,"2011","23","0","1","1",0.12,0.1364,0.5,0.194,"January"
"302",0,14,"1",5,"2011","0","0","1","1",0.12,0.1364,0.5,0.194,"January"
"303",0,5,"1",5,"2011","1","0","1","1",0.1,0.1212,0.54,0.1642,"January"
"304",0,1,"1",5,"2011","2","0","1","1",0.1,0.1212,0.54,0.1343,"January"
