Registered,Date,Year,Month,Day,Hour,Holiday,WorkDay,Weather,Temp,TempFeel,Humidity,Windspeed,Casual
109,1/5/11,2011,1,3,9,0,1,1,0.22,0.197,0.37,0.3284,6
53,1/5/11,2011,1,3,10,0,1,1,0.22,0.197,0.37,0.3284,4
34,1/5/11,2011,1,3,11,0,1,1,0.26,0.2273,0.33,0.3284,12
74,1/5/11,2011,1,3,12,0,1,1,0.26,0.2273,0.33,0.3284,5
65,1/5/11,2011,1,3,13,0,1,1,0.28,0.2576,0.3,0.2985,6
52,1/5/11,2011,1,3,14,0,1,1,0.3,0.2879,0.28,0.194,10
55,1/5/11,2011,1,3,15,0,1,1,0.3,0.2879,0.28,0.194,7
85,1/5/11,2011,1,3,16,0,1,1,0.3,0.3182,0.28,0.0896,4
186,1/5/11,2011,1,3,17,0,1,1,0.24,0.2273,0.38,0.194,4
166,1/5/11,2011,1,3,18,0,1,1,0.24,0.2424,0.38,0.1343,3
127,1/5/11,2011,1,3,19,0,1,1,0.24,0.2576,0.38,0.1045,5
82,1/5/11,2011,1,3,20,0,1,1,0.22,0.2273,0.47,0.1642,7
40,1/5/11,2011,1,3,21,0,1,1,0.2,0.197,0.51,0.194,3
41,1/5/11,2011,1,3,22,0,1,1,0.18,0.197,0.55,0.1343,1
18,1/5/11,2011,1,3,23,0,1,1,0.2,0.2576,0.47,0,1
11,1/6/11,2011,1,4,0,0,1,1,0.18,0.2424,0.55,0,0
4,1/6/11,2011,1,4,1,0,1,1,0.16,0.2273,0.64,0,0
2,1/6/11,2011,1,4,2,0,1,1,0.16,0.2273,0.64,0,0
1,1/6/11,2011,1,4,4,0,1,2,0.16,0.197,0.64,0.0896,0
4,1/6/11,2011,1,4,5,0,1,2,0.14,0.1818,0.69,0.0896,0
36,1/6/11,2011,1,4,6,0,1,2,0.14,0.1667,0.63,0.1045,0
95,1/6/11,2011,1,4,7,0,1,2,0.16,0.2273,0.59,0,0
216,1/6/11,2011,1,4,8,0,1,1,0.16,0.2273,0.59,0,3
116,1/6/11,2011,1,4,9,0,1,2,0.18,0.2424,0.51,0,6
42,1/6/11,2011,1,4,10,0,1,1,0.2,0.2576,0.47,0,3
57,1/6/11,2011,1,4,11,0,1,1,0.22,0.2576,0.44,0.0896,2
78,1/6/11,2011,1,4,12,0,1,1,0.26,0.2879,0.35,0,6
55,1/6/11,2011,1,4,13,0,1,1,0.26,0.2727,0.35,0.1045,12
59,1/6/11,2011,1,4,14,0,1,1,0.28,0.2727,0.36,0.1642,11
54,1/6/11,2011,1,4,15,0,1,1,0.28,0.2727,0.36,0,8
74,1/6/11,2011,1,4,16,0,1,1,0.26,0.2576,0.38,0.1642,12
163,1/6/11,2011,1,4,17,0,1,1,0.22,0.2273,0.51,0.1642,9
158,1/6/11,2011,1,4,18,0,1,1,0.22,0.2273,0.51,0.1343,5
109,1/6/11,2011,1,4,19,0,1,1,0.22,0.2576,0.55,0.0896,3
66,1/6/11,2011,1,4,20,0,1,1,0.2,0.2121,0.51,0.1642,3
48,1/6/11,2011,1,4,21,0,1,2,0.22,0.2121,0.55,0.2239,0
51,1/6/11,2011,1,4,22,0,1,2,0.22,0.2121,0.51,0.2836,1
19,1/6/11,2011,1,4,23,0,1,2,0.2,0.197,0.59,0.194,4
13,1/7/11,2011,1,5,0,0,1,2,0.2,0.197,0.64,0.194,4
5,1/7/11,2011,1,5,1,0,1,2,0.2,0.197,0.69,0.2239,2
1,1/7/11,2011,1,5,2,0,1,2,0.2,0.197,0.69,0.2239,0
1,1/7/11,2011,1,5,4,0,1,2,0.2,0.2121,0.69,0.1343,0
5,1/7/11,2011,1,5,5,0,1,3,0.22,0.2727,0.55,0,0
26,1/7/11,2011,1,5,6,0,1,2,0.2,0.2576,0.69,0,8
76,1/7/11,2011,1,5,7,0,1,1,0.2,0.2121,0.69,0.1343,8
190,1/7/11,2011,1,5,8,0,1,1,0.2,0.197,0.51,0.2537,20
125,1/7/11,2011,1,5,9,0,1,1,0.2,0.1818,0.47,0.2985,9
47,1/7/11,2011,1,5,10,0,1,1,0.22,0.197,0.37,0.3284,16
48,1/7/11,2011,1,5,11,0,1,2,0.2,0.197,0.4,0.2239,19
50,1/7/11,2011,1,5,12,0,1,2,0.2,0.197,0.37,0.2537,9
64,1/7/11,2011,1,5,13,0,1,2,0.2,0.1818,0.37,0.2836,9
43,1/7/11,2011,1,5,14,0,1,2,0.2,0.197,0.4,0.2537,7
63,1/7/11,2011,1,5,15,0,1,2,0.2,0.2121,0.37,0.1642,9
82,1/7/11,2011,1,5,16,0,1,2,0.2,0.2121,0.37,0.1642,5
178,1/7/11,2011,1,5,17,0,1,2,0.2,0.2576,0.37,0,9
116,1/7/11,2011,1,5,18,0,1,1,0.2,0.2273,0.4,0.0896,7
92,1/7/11,2011,1,5,19,0,1,1,0.16,0.197,0.55,0.0896,3
50,1/7/11,2011,1,5,20,0,1,1,0.18,0.2121,0.47,0.1045,1
39,1/7/11,2011,1,5,21,0,1,1,0.18,0.197,0.47,0.1343,0
34,1/7/11,2011,1,5,22,0,1,2,0.18,0.197,0.43,0.1642,2
14,1/7/11,2011,1,5,23,0,1,2,0.18,0.197,0.51,0.1642,1
24,1/8/11,2011,1,6,0,0,0,2,0.18,0.197,0.51,0.1642,1
15,1/8/11,2011,1,6,1,0,0,2,0.18,0.2121,0.55,0.0896,1
13,1/8/11,2011,1,6,2,0,0,2,0.18,0.2424,0.55,0,3
7,1/8/11,2011,1,6,3,0,0,3,0.18,0.197,0.55,0.1642,0
1,1/8/11,2011,1,6,4,0,0,3,0.18,0.197,0.55,0.1642,0
5,1/8/11,2011,1,6,5,0,0,2,0.16,0.1667,0.74,0.1642,0
2,1/8/11,2011,1,6,6,0,0,2,0.16,0.1667,0.74,0.1642,0
8,1/8/11,2011,1,6,7,0,0,2,0.16,0.1818,0.74,0.1045,1
15,1/8/11,2011,1,6,8,0,0,3,0.16,0.1818,0.93,0.1045,0
20,1/8/11,2011,1,6,9,0,0,3,0.16,0.1818,0.93,0.1045,0
56,1/8/11,2011,1,6,10,0,0,2,0.18,0.197,0.8,0.1642,5
60,1/8/11,2011,1,6,11,0,0,2,0.2,0.1818,0.69,0.3881,2
90,1/8/11,2011,1,6,12,0,0,2,0.2,0.1818,0.59,0.3582,8
95,1/8/11,2011,1,6,13,0,0,1,0.2,0.1818,0.44,0.3284,7
83,1/8/11,2011,1,6,14,0,0,1,0.2,0.1667,0.32,0.4925,12
69,1/8/11,2011,1,6,15,0,0,1,0.2,0.1667,0.32,0.4478,5
68,1/8/11,2011,1,6,16,0,0,1,0.18,0.1364,0.29,0.4478,8
64,1/8/11,2011,1,6,17,0,0,1,0.16,0.1212,0.37,0.5522,5
52,1/8/11,2011,1,6,18,0,0,1,0.14,0.1212,0.39,0.2985,3
26,1/8/11,2011,1,6,19,0,0,1,0.14,0.1212,0.36,0.2537,4
28,1/8/11,2011,1,6,20,0,0,1,0.12,0.1212,0.36,0.2537,0
35,1/8/11,2011,1,6,21,0,0,1,0.12,0.1061,0.39,0.3582,2
33,1/8/11,2011,1,6,22,0,0,1,0.12,0.1061,0.36,0.3881,1
22,1/8/11,2011,1,6,23,0,0,1,0.1,0.0606,0.39,0.4478,0
24,1/9/11,2011,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1
12,1/9/11,2011,1,0,1,0,0,1,0.1,0.0606,0.42,0.4627,0
11,1/9/11,2011,1,0,2,0,0,1,0.1,0.0606,0.46,0.4627,0
4,1/9/11,2011,1,0,3,0,0,1,0.1,0.0758,0.46,0.4179,0
1,1/9/11,2011,1,0,4,0,0,1,0.08,0.0909,0.53,0.194,0
1,1/9/11,2011,1,0,5,0,0,1,0.08,0.0909,0.53,0.194,0
1,1/9/11,2011,1,0,6,0,0,1,0.1,0.0909,0.49,0.2836,0
5,1/9/11,2011,1,0,7,0,0,1,0.08,0.0909,0.53,0.194,1
10,1/9/11,2011,1,0,8,0,0,1,0.1,0.0909,0.49,0.2836,0
19,1/9/11,2011,1,0,9,0,0,1,0.12,0.0758,0.46,0.5224,0
49,1/9/11,2011,1,0,10,0,0,1,0.14,0.1061,0.43,0.3881,0
47,1/9/11,2011,1,0,11,0,0,1,0.16,0.1212,0.4,0.5224,2
79,1/9/11,2011,1,0,12,0,0,1,0.18,0.1364,0.37,0.4478,4
69,1/9/11,2011,1,0,13,0,0,1,0.2,0.1667,0.34,0.4478,6
64,1/9/11,2011,1,0,14,0,0,1,0.22,0.1818,0.32,0.4627,8
77,1/9/11,2011,1,0,15,0,0,1,0.22,0.197,0.35,0.3582,5
79,1/9/11,2011,1,0,16,0,0,1,0.2,0.1667,0.34,0.4478,13
59,1/9/11,2011,1,0,17,0,0,1,0.18,0.1515,0.37,0.3881,3
44,1/9/11,2011,1,0,18,0,0,1,0.16,0.1364,0.4,0.3284,4
40,1/9/11,2011,1,0,19,0,0,1,0.16,0.1364,0.43,0.3284,1
38,1/9/11,2011,1,0,20,0,0,1,0.14,0.1212,0.46,0.2537,0
19,1/9/11,2011,1,0,21,0,0,1,0.14,0.1061,0.46,0.4179,1
10,1/9/11,2011,1,0,22,0,0,1,0.14,0.1212,0.46,0.2985,5
6,1/9/11,2011,1,0,23,0,0,1,0.12,0.1364,0.5,0.194,0
3,1/10/11,2011,1,1,0,0,1,1,0.12,0.1212,0.5,0.2836,2
0,1/10/11,2011,1,1,1,0,1,1,0.12,0.1212,0.5,0.2836,1
3,1/10/11,2011,1,1,2,0,1,1,0.12,0.1212,0.5,0.2239,0
1,1/10/11,2011,1,1,3,0,1,1,0.12,0.1212,0.5,0.2239,0
2,1/10/11,2011,1,1,4,0,1,1,0.1,0.1212,0.54,0.1343,1
3,1/10/11,2011,1,1,5,0,1,1,0.1,0.1061,0.54,0.2537,0
31,1/10/11,2011,1,1,6,0,1,1,0.12,0.1212,0.5,0.2836,0
75,1/10/11,2011,1,1,7,0,1,1,0.12,0.1212,0.5,0.2239,2
184,1/10/11,2011,1,1,8,0,1,2,0.12,0.1212,0.5,0.2836,4
92,1/10/11,2011,1,1,9,0,1,2,0.14,0.1212,0.5,0.2537,2
31,1/10/11,2011,1,1,10,0,1,2,0.14,0.1212,0.5,0.2985,0
28,1/10/11,2011,1,1,11,0,1,2,0.16,0.1364,0.47,0.2836,2
47,1/10/11,2011,1,1,12,0,1,2,0.2,0.1818,0.4,0.2836,5
50,1/10/11,2011,1,1,13,0,1,2,0.2,0.1818,0.4,0.2836,4
47,1/10/11,2011,1,1,14,0,1,2,0.2,0.197,0.4,0.2239,0
43,1/10/11,2011,1,1,15,0,1,2,0.2,0.197,0.4,0.2239,2
70,1/10/11,2011,1,1,16,0,1,1,0.2,0.2121,0.4,0.1343,4
174,1/10/11,2011,1,1,17,0,1,1,0.2,0.2273,0.4,0.1045,4
154,1/10/11,2011,1,1,18,0,1,1,0.2,0.197,0.4,0.2239,1
92,1/10/11,2011,1,1,19,0,1,1,0.16,0.1667,0.47,0.1642,3
73,1/10/11,2011,1,1,20,0,1,1,0.16,0.1667,0.5,0.1642,1
37,1/10/11,2011,1,1,21,0,1,1,0.14,0.1364,0.59,0.194,1
22,1/10/11,2011,1,1,22,0,1,1,0.14,0.1515,0.59,0.1642,2
18,1/10/11,2011,1,1,23,0,1,1,0.14,0.1515,0.59,0.1642,0
10,1/11/11,2011,1,2,0,0,1,1,0.14,0.1667,0.59,0.1045,2
3,1/11/11,2011,1,2,1,0,1,1,0.14,0.1515,0.59,0.1642,0
3,1/11/11,2011,1,2,2,0,1,2,0.16,0.1515,0.55,0.194,0
6,1/11/11,2011,1,2,5,0,1,2,0.16,0.1818,0.55,0.1343,0
27,1/11/11,2011,1,2,6,0,1,2,0.16,0.1818,0.55,0.1343,0
97,1/11/11,2011,1,2,7,0,1,2,0.16,0.2273,0.55,0,2
214,1/11/11,2011,1,2,8,0,1,2,0.18,0.2121,0.51,0.0896,3
127,1/11/11,2011,1,2,9,0,1,2,0.18,0.197,0.51,0.1642,3
51,1/11/11,2011,1,2,10,0,1,2,0.2,0.2121,0.51,0.1642,3
31,1/11/11,2011,1,2,11,0,1,2,0.2,0.2121,0.47,0.1343,4
55,1/11/11,2011,1,2,12,0,1,2,0.2,0.2273,0.51,0.1045,2
46,1/11/11,2011,1,2,13,0,1,2,0.2,0.2273,0.59,0.0896,6
60,1/11/11,2011,1,2,14,0,1,2,0.2,0.2273,0.59,0.0896,3
45,1/11/11,2011,1,2,15,0,1,2,0.16,0.197,0.8,0.0896,2
72,1/11/11,2011,1,2,16,0,1,2,0.16,0.1515,0.86,0.2239,4
130,1/11/11,2011,1,2,17,0,1,2,0.16,0.1515,0.86,0.2239,6
94,1/11/11,2011,1,2,18,0,1,3,0.16,0.1818,0.93,0.1045,1
51,1/11/11,2011,1,2,19,0,1,3,0.16,0.2273,0.93,0,0
32,1/11/11,2011,1,2,20,0,1,3,0.16,0.1515,0.93,0.194,0
20,1/11/11,2011,1,2,21,0,1,3,0.16,0.197,0.86,0.0896,0
28,1/11/11,2011,1,2,22,0,1,3,0.16,0.1818,0.93,0.1045,1
18,1/11/11,2011,1,2,23,0,1,3,0.16,0.197,0.93,0.0896,1
7,1/12/11,2011,1,3,0,0,1,2,0.16,0.197,0.86,0.0896,0
6,1/12/11,2011,1,3,1,0,1,2,0.16,0.1818,0.86,0.1045,0
1,1/12/11,2011,1,3,2,0,1,1,0.14,0.1515,0.86,0.1343,0
5,1/12/11,2011,1,3,5,0,1,1,0.14,0.1515,0.86,0.1642,0
16,1/12/11,2011,1,3,6,0,1,1,0.12,0.1515,0.93,0.1343,0
54,1/12/11,2011,1,3,7,0,1,1,0.14,0.1515,0.69,0.1343,0
125,1/12/11,2011,1,3,8,0,1,1,0.16,0.1667,0.59,0.1642,3
78,1/12/11,2011,1,3,9,0,1,1,0.16,0.1364,0.59,0.3284,3
39,1/12/11,2011,1,3,10,0,1,1,0.18,0.1818,0.55,0.2239,0
32,1/12/11,2011,1,3,11,0,1,1,0.2,0.1818,0.51,0.3881,3
52,1/12/11,2011,1,3,12,0,1,1,0.2,0.1515,0.47,0.5821,3
49,1/12/11,2011,1,3,13,0,1,1,0.22,0.197,0.44,0.3582,0
44,1/12/11,2011,1,3,14,0,1,1,0.2,0.1818,0.47,0.3284,0
48,1/12/11,2011,1,3,15,0,1,1,0.2,0.1667,0.47,0.4179,1
63,1/12/11,2011,1,3,16,0,1,1,0.22,0.197,0.44,0.3284,5
139,1/12/11,2011,1,3,17,0,1,1,0.2,0.1818,0.47,0.3582,0
135,1/12/11,2011,1,3,18,0,1,1,0.2,0.1515,0.47,0.5224,2
82,1/12/11,2011,1,3,19,0,1,1,0.18,0.1515,0.47,0.4179,1
54,1/12/11,2011,1,3,20,0,1,1,0.16,0.1364,0.5,0.3284,2
57,1/12/11,2011,1,3,21,0,1,1,0.16,0.1364,0.55,0.3284,0
32,1/12/11,2011,1,3,22,0,1,1,0.16,0.1212,0.55,0.4478,1
19,1/12/11,2011,1,3,23,0,1,1,0.14,0.1061,0.59,0.4179,1
6,1/13/11,2011,1,4,0,0,1,1,0.14,0.1212,0.59,0.2836,1
2,1/13/11,2011,1,4,1,0,1,1,0.14,0.1212,0.5,0.2836,0
2,1/13/11,2011,1,4,2,0,1,1,0.14,0.1212,0.5,0.3582,0
3,1/13/11,2011,1,4,3,0,1,1,0.14,0.1212,0.5,0.3284,0
4,1/13/11,2011,1,4,4,0,1,1,0.14,0.1212,0.5,0.2537,0
3,1/13/11,2011,1,4,5,0,1,1,0.14,0.1212,0.5,0.2985,0
28,1/13/11,2011,1,4,6,0,1,1,0.12,0.1515,0.54,0.1343,0
72,1/13/11,2011,1,4,7,0,1,1,0.12,0.1515,0.54,0.1343,0
197,1/13/11,2011,1,4,8,0,1,1,0.14,0.1364,0.5,0.194,5
137,1/13/11,2011,1,4,9,0,1,1,0.14,0.1212,0.5,0.3284,2
36,1/13/11,2011,1,4,10,0,1,2,0.16,0.1364,0.5,0.3582,2
33,1/13/11,2011,1,4,11,0,1,2,0.2,0.1667,0.44,0.4478,4
49,1/13/11,2011,1,4,12,0,1,1,0.2,0.1667,0.44,0.4179,3
81,1/13/11,2011,1,4,13,0,1,1,0.22,0.197,0.41,0.4478,2
39,1/13/11,2011,1,4,14,0,1,1,0.22,0.197,0.41,0.3881,3
55,1/13/11,2011,1,4,15,0,1,1,0.24,0.2121,0.38,0.2985,5
76,1/13/11,2011,1,4,16,0,1,1,0.24,0.2121,0.38,0.3582,2
158,1/13/11,2011,1,4,17,0,1,1,0.2,0.1818,0.4,0.2836,4
141,1/13/11,2011,1,4,18,0,1,1,0.2,0.1818,0.4,0.3284,3
98,1/13/11,2011,1,4,19,0,1,1,0.16,0.1515,0.47,0.2537,1
64,1/13/11,2011,1,4,20,0,1,1,0.16,0.1515,0.47,0.2239,0
40,1/13/11,2011,1,4,21,0,1,1,0.14,0.1212,0.46,0.2985,0
30,1/13/11,2011,1,4,22,0,1,1,0.14,0.1212,0.46,0.3284,0
14,1/13/11,2011,1,4,23,0,1,1,0.12,0.1364,0.5,0.194,1
14,1/14/11,2011,1,5,0,0,1,1,0.12,0.1364,0.5,0.194,0
5,1/14/11,2011,1,5,1,0,1,1,0.1,0.1212,0.54,0.1642,0
1,1/14/11,2011,1,5,2,0,1,1,0.1,0.1212,0.54,0.1343,0
1,1/14/11,2011,1,5,3,0,1,1,0.1,0.1364,0.54,0.1045,0
8,1/14/11,2011,1,5,5,0,1,1,0.1,0.1364,0.54,0.0896,0
17,1/14/11,2011,1,5,6,0,1,1,0.1,0.1818,0.54,0,0
70,1/14/11,2011,1,5,7,0,1,1,0.1,0.1212,0.74,0.1642,0
156,1/14/11,2011,1,5,8,0,1,1,0.12,0.1667,0.68,0,2
117,1/14/11,2011,1,5,9,0,1,1,0.14,0.1515,0.69,0.1343,0
40,1/14/11,2011,1,5,10,0,1,1,0.18,0.1818,0.55,0.194,4
47,1/14/11,2011,1,5,11,0,1,1,0.18,0.1667,0.51,0.2836,6
59,1/14/11,2011,1,5,12,0,1,1,0.2,0.197,0.44,0.2537,2
73,1/14/11,2011,1,5,13,0,1,1,0.22,0.197,0.37,0.3881,4
59,1/14/11,2011,1,5,14,0,1,1,0.22,0.2121,0.41,0.2836,5
59,1/14/11,2011,1,5,15,0,1,1,0.24,0.2424,0.38,0.1642,9
87,1/14/11,2011,1,5,16,0,1,1,0.22,0.2424,0.41,0.1045,3
155,1/14/11,2011,1,5,17,0,1,1,0.22,0.2273,0.41,0.1642,4
134,1/14/11,2011,1,5,18,0,1,1,0.2,0.2576,0.47,0,5
89,1/14/11,2011,1,5,19,0,1,1,0.16,0.197,0.59,0.0896,3
68,1/14/11,2011,1,5,20,0,1,1,0.18,0.2424,0.59,0,0
48,1/14/11,2011,1,5,21,0,1,1,0.16,0.2273,0.69,0,4
34,1/14/11,2011,1,5,22,0,1,2,0.16,0.2273,0.69,0,2
26,1/14/11,2011,1,5,23,0,1,2,0.18,0.2424,0.55,0,1
25,1/15/11,2011,1,6,0,0,0,1,0.18,0.2424,0.55,0,3
18,1/15/11,2011,1,6,1,0,0,2,0.16,0.197,0.59,0.0896,2
12,1/15/11,2011,1,6,2,0,0,2,0.16,0.197,0.59,0.0896,0
